topic	definition
V-2AMS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2AMS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2AMS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2AMS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AMS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AOI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2AOI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2AOI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AOI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2AOI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AOM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AON	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> iNfinitive</p>
V-2AOS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2API-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2API-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2API-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2API-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2API-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2API-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2APM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2APM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2APM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> iNfinitive</p>
V-2APP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2APP-DSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2APP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2APP-NPF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
V-2APP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2APP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2APP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2APP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2APS-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2APS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2APS-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2APS-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2APS-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2AXM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2AXP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2AXS-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Aorist</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2FAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2FDI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2FDI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2FMI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2FOI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2FOI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2FOI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2FPI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2FPI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2FPI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2FPI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2FPI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2LAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2RAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-2RAI-1P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-2RAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-2RAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-2RAI-2P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-2RAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-2RAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-2RAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-2RAI-3P-C	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>Contracted form</p>
V-2RAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-2RAI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-2RAN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p>
V-2RAP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2RAP-APM-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p><p>ATTic form</p>
V-2RAP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-2RAP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2RAP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2RAP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2RAP-DSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Dative (indirect object, &quot;to&quot;; also location &quot;in&quot;, &quot;at&quot;; instrument, &quot;with&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2RAP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-2RAP-NSF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-2RAP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-2RAP-NSN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-2RPP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> second peRfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-AAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-AAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-AAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-AAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-AAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-AAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-AAM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-AAM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-AAM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-AAM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-AAN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p>
V-AAO-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-AAO-3P-A	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>Aeolic</p>
V-AAO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-AAP-APM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-AAP-APN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-AAP-ASF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Feminine</p>
V-AAP-ASM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Aorist</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
